2.0,30.83,0.0,2.0,1.0,13.0,8.0,1.25,1.0,1.0,1.0,0.0,1.0,202.0,0.0
1.0,58.67,4.46,2.0,1.0,11.0,4.0,3.04,1.0,1.0,6.0,0.0,1.0,43.0,560.0
1.0,24.5,0.5,2.0,1.0,11.0,4.0,1.5,1.0,0.0,0.0,0.0,1.0,280.0,824.0
2.0,27.83,1.54,2.0,1.0,13.0,8.0,3.75,1.0,1.0,5.0,1.0,1.0,100.0,3.0
2.0,20.17,5.625,2.0,1.0,13.0,8.0,1.71,1.0,0.0,0.0,0.0,3.0,120.0,0.0
2.0,32.08,4.0,2.0,1.0,10.0,8.0,2.5,1.0,0.0,0.0,1.0,1.0,360.0,0.0
2.0,33.17,1.04,2.0,1.0,12.0,4.0,6.5,1.0,0.0,0.0,1.0,1.0,164.0,31285.0
1.0,22.92,11.585,2.0,1.0,3.0,8.0,0.04,1.0,0.0,0.0,0.0,1.0,80.0,1349.0
2.0,54.42,0.5,3.0,3.0,9.0,4.0,3.96,1.0,0.0,0.0,0.0,1.0,180.0,314.0
2.0,42.5,4.915,3.0,3.0,13.0,8.0,3.165,1.0,0.0,0.0,1.0,1.0,52.0,1442.0
2.0,22.08,0.83,2.0,1.0,2.0,4.0,2.165,0.0,0.0,0.0,1.0,1.0,128.0,0.0
2.0,29.92,1.835,2.0,1.0,2.0,4.0,4.335,1.0,0.0,0.0,0.0,1.0,260.0,200.0
1.0,38.25,6.0,2.0,1.0,9.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2.0,48.08,6.04,2.0,1.0,9.0,8.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,2690.0
1.0,45.83,10.5,2.0,1.0,11.0,8.0,5.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0
2.0,36.67,4.415,3.0,3.0,9.0,8.0,0.25,1.0,1.0,10.0,1.0,1.0,320.0,0.0
2.0,28.25,0.875,2.0,1.0,10.0,8.0,0.96,1.0,1.0,3.0,1.0,1.0,396.0,0.0
1.0,23.25,5.875,2.0,1.0,11.0,8.0,3.17,1.0,1.0,10.0,0.0,1.0,120.0,245.0
2.0,21.83,0.25,2.0,1.0,4.0,4.0,0.665,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,19.17,8.585,2.0,1.0,3.0,4.0,0.75,1.0,1.0,7.0,0.0,1.0,96.0,0.0
2.0,25.0,11.25,2.0,1.0,2.0,8.0,2.5,1.0,1.0,17.0,0.0,1.0,200.0,1208.0
2.0,23.25,1.0,2.0,1.0,2.0,8.0,0.835,1.0,0.0,0.0,0.0,3.0,300.0,0.0
1.0,47.75,8.0,2.0,1.0,2.0,8.0,7.875,1.0,1.0,6.0,1.0,1.0,0.0,1260.0
1.0,27.42,14.5,2.0,1.0,14.0,4.0,3.085,1.0,1.0,1.0,0.0,1.0,120.0,11.0
